                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6565,                 3.7928,                 1.4001,                 0.0062,                0.36595,                0.03171,                 0.0235,                 1.5484,                 3.6398,                 1.2001,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.6442,                 3.2266,                  1.266,                0.01285,                0.68157,                0.13884,                0.08522,                 1.5918,                 3.3811,                 1.1179,               0.000152,               0.000152,               0.000152
                      3,                 1.6787,                 2.1429,                 1.1598,                 0.0152,                0.71007,                0.26992,                0.13633,                 1.5426,                 2.9875,                 1.0515,              0.0002269,              0.0002269,              0.0002269
                      4,                 1.6621,                 1.8773,                 1.1611,                0.01604,                0.79432,                0.31414,                0.16352,                 1.5421,                 2.9495,                 1.0328,             0.00029613,             0.00029613,             0.00029613
                      5,                 1.6211,                 1.6867,                 1.1623,                0.01733,                0.87124,                0.47704,                0.26392,                 1.5287,                 2.7881,                 1.0154,             0.00035971,             0.00035971,             0.00035971
                      6,                 1.6073,                 1.5594,                 1.1554,                0.89981,                0.14234,                0.46663,                0.25144,                  1.534,                 2.6323,                 1.0177,             0.00041763,             0.00041763,             0.00041763
                      7,                 1.5946,                 1.4544,                 1.1376,                0.54137,                0.48579,                0.52756,                0.28971,                  1.551,                 2.6809,                 1.0538,             0.00046988,             0.00046988,             0.00046988
                      8,                 1.6135,                 1.3983,                 1.1725,                0.78297,                0.23792,                0.57694,                 0.3134,                 1.6001,                 2.6854,                 1.0915,             0.00051648,             0.00051648,             0.00051648
                      9,                  1.603,                 1.3448,                  1.192,                0.97275,                0.31635,                0.71118,                0.38511,                 1.5901,                 2.4452,                 1.1022,             0.00055742,             0.00055742,             0.00055742
                     10,                 1.6182,                 1.2732,                  1.181,                 0.9408,                0.35832,                0.89915,                0.47474,                 1.6225,                 2.2272,                 1.1284,             0.00059271,             0.00059271,             0.00059271
                     11,                 1.5848,                 1.2831,                 1.2279,                0.91005,                0.35842,                0.88885,                0.47556,                 1.6078,                 2.1844,                 1.1271,             0.00062233,             0.00062233,             0.00062233
                     12,                 1.5998,                 1.1831,                 1.1987,                0.95152,                0.46198,                0.90119,                0.49998,                 1.6367,                 1.9555,                 1.1379,             0.00064629,             0.00064629,             0.00064629
                     13,                 1.6031,                 1.1791,                 1.1826,                0.96891,                0.66542,                0.93544,                0.52054,                 1.6736,                 1.7934,                 1.1473,              0.0006646,              0.0006646,              0.0006646
                     14,                 1.5984,                  1.112,                 1.1612,                0.82841,                0.71372,                0.94251,                0.50732,                 1.6606,                 1.7975,                  1.152,             0.00067725,             0.00067725,             0.00067725
                     15,                 1.5337,                 1.1034,                 1.1381,                0.93905,                0.83807,                0.96575,                0.51171,                 1.6767,                 1.5622,                 1.1774,             0.00068423,             0.00068423,             0.00068423
                     16,                 1.5212,                 1.1166,                 1.2056,                0.95736,                0.82685,                0.95134,                0.52455,                 1.6696,                 1.5642,                 1.1469,             0.00068556,             0.00068556,             0.00068556
                     17,                 1.5417,                 1.0776,                 1.1747,                0.94455,                0.78786,                0.94189,                0.52171,                 1.6622,                 1.5745,                 1.1357,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.5307,                 1.0453,                 1.1448,                0.90894,                0.88114,                0.95313,                 0.5062,                 1.6495,                 1.4023,                 1.1399,             0.00067449,             0.00067449,             0.00067449
                     19,                 1.5313,                 1.0729,                 1.1669,                0.89084,                0.90446,                 0.9713,                0.52069,                 1.6686,                 1.3588,                 1.1507,             0.00062733,             0.00062733,             0.00062733
                     20,                 1.5566,                 1.0528,                 1.1576,                0.90617,                0.94451,                0.96516,                0.51226,                 1.6662,                 1.2671,                 1.1516,             0.00058017,             0.00058017,             0.00058017
                     21,                 1.5427,                 1.4109,                 1.1671,                 0.9049,                0.94314,                0.96173,                0.51277,                  1.676,                 1.1596,                 1.1574,             0.00053302,             0.00053302,             0.00053302
                     22,                 1.5402,                 1.2891,                 1.1735,                0.91414,                0.93057,                0.96475,                 0.5104,                  1.638,                  1.285,                  1.133,             0.00048586,             0.00048586,             0.00048586
                     23,                  1.549,                 1.2665,                 1.1712,                0.87551,                0.92365,                0.95358,                0.51879,                 1.6281,                 1.2699,                  1.134,              0.0004387,              0.0004387,              0.0004387
                     24,                 1.5446,                 1.2219,                 1.1564,                0.94018,                0.92464,                0.96639,                0.52261,                 1.6568,                 1.0662,                 1.1634,             0.00039155,             0.00039155,             0.00039155
                     25,                 1.5425,                 1.1212,                  1.147,                0.94627,                0.94571,                0.97595,                0.52015,                 1.6853,                 1.0036,                 1.1906,             0.00034439,             0.00034439,             0.00034439
                     26,                 1.5213,                 1.1373,                 1.1636,                0.94911,                0.95331,                0.98061,                0.53526,                 1.6535,                0.93266,                 1.1789,             0.00029723,             0.00029723,             0.00029723
                     27,                 1.5068,                 1.1035,                 1.1483,                 0.9675,                0.93494,                 0.9821,                 0.5383,                 1.6382,                0.92954,                 1.1657,             0.00025007,             0.00025007,             0.00025007
                     28,                 1.4661,                 1.0615,                 1.1568,                0.97657,                0.92856,                0.98233,                0.53838,                 1.6453,                0.92917,                 1.1674,             0.00020292,             0.00020292,             0.00020292
                     29,                 1.4728,                  1.082,                 1.1377,                0.96437,                0.94198,                 0.9847,                0.54109,                 1.6474,                0.92158,                 1.1637,             0.00015576,             0.00015576,             0.00015576
                     30,                 1.4535,                 1.0619,                 1.1174,                0.93296,                0.96048,                 0.9839,                0.53429,                 1.6648,                0.90951,                 1.1646,              0.0001086,              0.0001086,              0.0001086
